,review_score,review_comment_message
10957,1,Já paguei e ainda n recebi 
10958,5,"Entrega ok.
Produto de boa qualidade !"
10959,3,"Chegou até antes do dia , gostei do produto e recomendo,espero que dure na mão da minha filha kkk"
10960,5,Rápida entrega
10961,5,Os produtos são de boa qualidade e o preço que adquiri foi excelente. 
10962,1,"Após 45 dias da compra, o produto não foi entregue e não consigo informações sobre o motivo do atraso nem previsão de data para uma nova entrega. Já fiz 5 contatos sem sucesso para obter maiores detal"
10963,5,A entrega foi super rápida. Produto lindo e de excelente qualidade! Recomento!
10964,5,obrigado pela entrega antes da data prevista 
10965,5,Entrega rápida antes do prazo
10966,3,"Agradeço, mas acho que demorou um pouco pra chegar ,pois levou mais de 15 días .mas mesmo assim agradeço."
10967,3,Gostei muito do produto e chegou rapidinho 💖
10968,5,"Ótimo produto e chegou bem antes do prazo, fiquei muito satisfeita."
10969,5,Adorei minhas aquisições...lindos...amei!!
10970,3,"'produto bom, só chegou com atraso."
10971,2,"Ainda está no prazo previsto, mas achei mto longo "
10972,2,Qualidade abaixo do esperado!
10973,5,Recebi até antes do prazo. Perfeitas condições de funcionamento. Estou Satisfeito.
10974,3,Com certeza indico Já estou fazendo propaganda para as minhas amigas com certeza comprarei mais
10975,5,"Recomendo o produto, entrega no prazo. Sem problemas com instalação do driver."
10976,5,"O Primeiro produto veio com defeito. Depois que reclamei enviaram outro rapidamente, em perfeito estado e ainda levei um brinde. Pode confiar, eles respeitam o consumidor!"
10977,5,...
10978,2,o produto nao e o que esperava fragil e super caro.
10979,1,"Não posso opinar ,pois não recebi."
10980,1,"Eu não sei o que está acontecendo, eu preciso do produto urgente e até agora não chegou. Tem mais de um mês "
10981,1,"falta a capa do celular, o skate chegou"
10982,5,Recomendo a todos que necessitam deste produto pois é de ótimo qualidade e impressão.
10983,5,Até agora o produto atende ao que se propõe
10984,5,"PRODUTO ENTREGUE CERTINHO, ANTES DO PRAZO,... ADOREI !!!"
10985,4,tapete muito fino...bonito mas podia ser mais grossa a parte de baixo.
10986,1,"Comprei DOIS porta talheres e recebi apenas UM até o momento, juntamente com uma NF onde constam dois produtos."
10987,4,"Achei muito parecidos alguns produtos, mas ainda assim super indico. São de otima qualidades"
10988,3,O único problema foi uma das embalagens que estava violada
10989,5,Excelente atendimento.
10990,3,acredito que poderia servir como uma tampa que levanta na frente e fica fixa no fundo.
10991,5,"aprovação do crédito rápida, entrega bem antes da data limite, produto muito bom, nota 10."
10992,5,Produto chegou com as especificações e em ótimo estado. Ótima loja
10993,5,Paciência
10994,5,Sempre comprei nesta loja. Sempre recebi a mercadoria correta.
10995,5,"Muito rápida a entrega, tudo perfeito."
10996,5,"Parabens, recebi o produto em perfeito estado e no prazo."
10997,5,"Veio antes do prazo, produto de boa qualidade gostei bastante recomendo

"
10998,5,Excelente qualidade do serviço e produto
10999,1,"Atraso na entrega,e não se consegue um CTT com a empresa"
11000,2,Comprei o produto antes da black friday e até o momento não foi entregue (quase 1 mês de espera).
11001,4,"sempre recebo produtos adquiridos nessa empresa por transportadora,e é sempre muito rápido, porém, quando enviam pelos correios , é mais demorado e corre o risco de termos que retirar."
11002,5,Produto de boa qualidade. 
11003,5,Até Hoje não encontrei um site tão responsável que cumpre as normas antes mesmo do esperado .
11004,2,Estou no agurdo do meu produto
11005,5,Recomendo
11006,1,O pedido não foi entregue e consta no site como entregue.
11007,4,Site confiável
11008,5,Chegou dentro do prazo. Adorei as peças! 
11009,1,Entrega atrasada.
11010,4,A entrega foi dentro do previsto estou satisfeito.
11011,4,Muito bom.
11012,5,"Produto de ótima qualidade e lindo.
Recebi antes do previsto.
"
11013,3,"CONFIO NO SITE lannister ,POREM O METODO DE ENTREGA DEIXA A DESEJAR,POR DEPENDER DE TERCEIROS O PRAZO ESTIMADO PARA ENTREGA NO ATO DA COMPRA NAO E CONFIAVEL."
11014,1,O produto ainda ano foi entregue.
11015,4,"qualidade boa,preço bom , e entrega rapida , estão de parabéns , agradecido , ari "
11016,3,"Produto bem mais ou menos . Prazo : OK entrega: OK . porém , o produto parece de camelô , não é bonita , nem parece que comprei em loja . o matéria da mochila não é o pior , mas parece do camelô ! "
11017,2,"Não sei o motivo, mas dos 4 ítens adquiridos do mesmo produto foram entregues apenas 3. O despacho foi feito individualmente e até o momento ainda falta a entrega de um ítem."
11018,1,Mandei diversas reclamações e somente um foi respondida porém não atendida.
11019,1,Comprei 2 relógios e entregaram apenas 1. Aguardo posicionamento da loja qto a isso ou estorno do valor no cartão. 
11020,5,"Comprei duas vezes nesse site e sempre me entrgaram antes do previsto
com certeza recomendo"
11021,4,Recebi o produto com uma grande antecedência. O produto é de qualidade e cumpre com o prometido da propaganda/fotos. 
11022,5,Entregou super rápido e tem o produto de boa qualidade.
11023,1,Empresa entregou suplemento falsificado. Total irresponsabilidade com a saúde do consumidor. stark também perde credibilidade ao aceitar como parceiras empresas inidôneas. 
11024,5,"Produto ótimo, entrega super rápida."
11025,4,"Para quem não é extremamente exigente, recomendo. O produto veio com pequenos arranhões mas nenhuma avaria. Tudo ok."
11026,3,"Quero sugerir que a empresa tenha embalagens adequadas ao produto, comprei banquetas e recebi em caixas de ferro de passar, isso mostra que a empresa não tem profissionalismo."
11027,4,A loja mandou bem.obrigado. ronaldo
11028,1,"Produto chegou com a embalagem em péssimo estado, faltando componentes para montagem e danificado, nao recomendo."
11029,4,"O relógio é um pouco pequeno, mas é bem bonito e de ótima qualidade... Adorei minha compra!"
11030,2,Comprei 2 travesseiros foi entregue apenas 1. Tive que entrar em contato com a empresa para receber o segundo item do meu pedido. 
11031,5,Super recomendo
11032,5,"CHEGOU ANTES DO PRAZO, FACIL DE CONFIGURAR E ENTENDER SUAS FUNCIONALIDADES, BOM DE USO"
11033,5,Muito bom gostei de mais no começo eu fiquei com muito mendo mesmo mais agora eu recomendo pra todas as pessoais.
11034,1,"Produto veio avariado. 
Ate o momento não obtive retorno de minha solicitação."
11035,3,"O produto veio empedrado e não tem consistência, coloração ao misturar com água."
11036,4,Recebi o produto conforme o anúncio...
11037,4,Facil e bom
11038,3,Pelo preço vale a pena 
11039,5,Chegou bem antes do prazo! Parabéns! 
11040,1,Comprei e as cores vieram todas erradas e escolhe com tanto cuidado e veio td diferente não compro mais pq ate vc tentar e conseguir trocar muita dor de cabeça 
11041,4,Entrega muito rápida.
11042,3,Recebi o produto dentro do prazo
11043,4,frete muito caro
11044,5,"Não tenho o que reclamar, foi minha primeira compra na loja online da lannister e foi muito, muito tranquilo, acompanhei tudo pelo APP (que por sinal super indico.) Ótimo serviço. "
11045,5,Lindo relógio! Um clássico!
11046,3,"De Boa qualidade
"
11047,2,O PRODUTO PRACE ESTAR AVARIADO.
11048,3,"Pena que demora tanto, saudades do tempo que comprava no site das lannister e recebia na mesma semana."
11049,5,"entrega passou um pouco do prazo, mas justificaram, produto muito bom, recomento"
11050,5,"A luz é forte, tem uma base sólida e firme, bastante potência e parece ser muito resistente, fácil de instalar, recomendo."
11051,5,"Para mim é uma satisfação fazer compra nessa Loja
Sempre gostei dos produtos. Pena que o frete é tão alto. 
Conforme outros sites, poderia ser livre acima de 100,00
 "
11052,3,"Tive que retirar meu produto em uma agência dos correios extremamente distante da minha casa. Recomendaria a agência de distribuição DirectLog, pois a entrega é realmente feita."
11053,5,Seriedade e eficiência!!
11054,5,Muito bom o serviço prestado. 
11055,5,entregou antes do prazo.
11056,1,Estou precisando e não chegou.
11057,5,"Recomendo a todos
"
11058,2,"O SITE VALIDA A COMPRA E DEPOIS DE TER PAGO, RECEBO A INFORMAÇÃO QUE O PRODUTO ESTÁ INDISPONÍVEL."
11059,2,"Entrega foi rápida , porém o produto de péssima qualidade, fino , não passou nem perto do que eu esperava , está certo que foi barato mas eu não pagaria nem 10,00."
11060,2,"Comprei 4 toners (magenta, amarelo, ciano e preto). Um dos fornecedores (Tonerbras) fez a nota do amarelo e magenta porém entregou 2 magentas. Não consigo fazer a troca."
11061,5,"O produto veio sem nenhum problema, chegou antes do prazo estipulado e é muito simples para montar. Recomendo."
11062,2,"Boa tarde, recebi apenas 1 par de luvas x11, como posso entrar em contato para receber o segundo par? Agradeço desde já..."
11063,1,Bom
11064,5,"PRODUTO DE BOA QUALIDADE ENTREGUE ANTES DO PREVISTO, TUDO CORRETO."
11065,5,Ótimo vendedor. Atencioso e prestativo. O Sr. Bruno me atendeu de maneira gentil e eficiente. Recomendo. 
11066,1,"meu pedido veio faltando um produto, preciso resolver"
11067,1,"Produto não entregue, muito atrasado, acho que Americana vendeu produto que não existe."
11068,5,"só estou aguardando o outro controle remoto que é o da Claro Livre, ainda não chegou."
11069,5,Tudo conforme o combinado 
11070,5,"tudo conforme o previsto.
"
11071,2,"A qualidade da tinta não é boa, A cor laranja, por exemplo, saiu marrom. Não gostei"
11072,1,Acredito não ter recebido por conta da greve . Mas não indico a lannister por motivo de venda de televisão com defeito 
11073,1,Demorou muito e cancelei a entrega
11074,3,"Caso precise levar algo mais pesado, como latas ou vasilhas mais cheias é ruim. O cooler tem a alça costurada na aba do velcro, se o alimento/bebida foi mais pesado (500g) a alça puxa a aba e abre."
11075,5,"Achei lindo o espelho
Recomendo a loja
Pois chegou antes do prazo
"
11076,5,Produto feio e não recomendado. Loja ok
11077,3,"Os Pneus foram entregues no prazo, mas gostaria de relatar um problema: Apesar de ter sido entregue dois pneus de modelo e marca iguais, um deles parece ser semi-novo e não 0 Km, conforme o anúncio..."
11078,5,Chegou antes do prazo. Obrigado.
11079,5,Produto veio bem antes do prazo adorei 
11080,1,Até agora não recebi uma simples capinha. Comprei a capa antes do telefone pra não correr o risco de ficar com o telefone novo sem capa. O telefone já chegou a muito tempo e a capa até agora nada. 
11081,3,"Produto muito bom, para fixa aplica duas vezes."
11082,4,Bom
11083,5,"Normal
"
11084,5,"Eu recomendo , ótima compra"
11085,5,Produto de wualidade muito bom
11086,1,Ainda não recebi minha encomenda
11087,5,sem comentarios
11088,1,enviou pelos correios e ate agora nada
11089,1,Não consegui obter informações sobre a entrega do produto
11090,5,ótimo!
11091,1,RECEBI UMA UNIDADE SENDO QUE COMPREI 2!!!!!!
11092,3,meu produto veio com a lampada quebrada estou esperando o retorno do baratheon
11093,5,"foi encachado perfeito, e já estou usando ele! "
11094,5,Recomendo a todos
11095,4,"Produto atendeu as expectativas. Comprei para a minha namorada, ela gostou muito."
11096,1,"Só recebi uma parte do meu pedido! O Mikrotik Routerboard Rb951ui-2hnd NÃO CHEGOU! Quero saber como proceder, o que sera feito...
"
11097,5,"Muito bom, chega sempre , só NUNCA NUNCA NUNCA consigo retirar a NFE , entro no site, digito o código que mandam e SEMPRE SEMPRE dá erro. "
11098,5,lannister sempre atendendo bem.
11099,5,Adorei. Chegou bem antes do que o prazo de entrega.
11100,5,Muito bom
11101,3,chegou sujo
11102,5,PRODUTO DE QUALIDADE 
11103,5,"Adorei, era do tamanho que precisava."
11104,2,"Recebi o produto e ele fuciona normalmente, porem o mesmo é diferente das imagens ilustrad a no site, já avia comprado em outro site e veio uma replica identica ao original, por isso não recomendo."
11105,5,"No site da lannister a informação do tipo de saco descartável é NANO. No site não diz o número, por isso recebi o NANO 11 que é maior que o saco do aspirador, vou ver se funciona corretamente. "
11106,1,"Adc. ao carrinho 2 pneus separadamente. Por se tratar da mesma loja, juntaram em 1 NF e 1 envio. Porém chegou apenas 1 pneu. Onde consta o peso na nota de 11k dos 2 e de despacho 5k. Ou seja,só veio 1"
11107,5,Nossa muito bom recebi antes do prazo de entrega adorei bem bonitas as bolsas recomendo 
11108,1,"O produto veio com defeito, a cortina veio com a embalagem violada e o produto estava danificado, queimado.
Fiz a reclamação direto com a loja e eles ficaram de me retornar mas não retornaram até hoj"
11109,1,"Mercadoria em atraso e nenhuma satisfação foi dada,falta de compromisso com cliente"
11110,5,"O pedido chegou super rápido, é de ótima qualidade! Fiquei um pouco apreensiva antes da entrega, já que tive problemas com outras lojas parceiras da stark. "
11111,4,Bom venderdor foi tudo entregue com forme o que eu esperava.
11112,5,Valeu
11113,5,"Muito bom Serviço prestado. Entrega Rapida, controle funcionando perfeitamente"
11114,4,"O produto é bom,
Só acho q deveria vim um manual explicativo ."
11115,5,Estão de parabéns. O produto correto foi entregue antes do prazo estabelecido.
11116,1,minha opinião é que vocês deviam acompanhar semanalmente ou quinzenalmente a entrega
11117,5,Amei minha cadeira! 
11118,1,Não entregaram e até hj não estornaram no meu cartão.
11119,5,Ainda não tive a oportunidade de experimentar o produto para avaliar a sua qualidade. Mas o mesmo chegou dentro do prazo determinado e bem embalado. 
11120,1,Quero trocar e não está carregando meu tablete e está c defeito
11121,3,incerteza de receber o produto
11122,4,"A toalha q se referem ao piso do banheiro, veio na cor bege e nao8na cor vermelho como está na amostra."
11123,4,bom esse pendrive
11124,5,"muito bom
"
11125,5,perfeito em tudo
11126,4,"A forma é mais fina que as minhas e enviaram por correio, compro no baratheon porque enviam por transportadora que eu prefiro pois aqui é area restrita e tive que retirar na agência."
11127,5,O site alia praticidade com muita eficácia. Estou satisfeito.
11128,5,o produto ainda não instalei mas a entrega foi super rápido
11129,1,"Bom dia
Comprei 2 controles e chegou apenas 1"
11130,5,Meus panos chegaram com otima qualidade mais rapido que o esperado td certinho farei novas compras
11131,5,"Eu adorei veio ate antes do tempo,Eu recomendo sim....."
11132,5,"Os kit é muito cheiroso, vieram muito bem embalados e protegidos! Parabéns mais uma vez pela entrega dentro do prazo."
11133,5,"Gostei do produto, a entrega foi rápida, ótimo!!"
11134,1,Comprei 4 kit manicure e só recebi 1.
11135,5,MUITO SATISFEITA PRODUTO DE OTIMA QUALIDADE
11136,5,"Produto muito bom, gostei!"
11137,5,A data para chegar era 14 de agosto. O produto chego ainda em julho!
11138,1,"sempre tive e confiei na compra onlaine, fiz todo o protocolo e escolhi o produto. mas quando recebi veio a marca diferente e ainda nao funciona, mesmo sendo bloqueado. preciso da encomenda urgente"
11139,1,"Comprei 4 luminárias e até o momento, recebi 3.
Já liguei para a empresa responsávelpela entrega e fui informada que devo receber logo a luminária que falta"
11140,5,"Otimo produto entrega dentro do prazo super recomendo
"
11141,5,"Fiquei com medo de não ser exatamente o que desejava, mas me surpreendi. Chego antes do tempo previsto e tudo certo."
11142,4,muito satisfeita o produto chegou antes do esperado!
11143,5,"Cortina bonita, Boa qualidade. Chegou no prazo estipulado "
11144,5,adorei
11145,5,conforme colprado
11146,1,Frustrante não receber o Produto no Prazo. .
11147,5,"Fui muito bem atendida e estou satisfeita com minha aquisição. O site de compra mais uma vez me enviou o produto dentro do prazo que eu necessitava receber meu produto. 
"
11148,5,Entrega no prazo e em perfeito estado...parabéns.
11149,1,O produto não foi entregue. Gostaria de saber a nova previsão de entrega. O processo de entrega está na situação de Nota Fiscal emitida desde 26/NOV/2017 sem ter nunca ido para transportadora.
11150,3,Boa
11151,4,"Só não foi melhor pois uma peça chegou avariada, o que muito provavelmente ocorreu durante o transporte..."
11152,1,"Até no momento ninguém entrou em contato sobre o produto, não consigo rastrear o mesmo!"
11153,4,Já comprei várias vezes nessa loja e recomendo!
11154,3,"Bom produto.
"
11155,3,"O produto chegou no prazo e ok, porém não veio com nota fiscal. Estou ainda aguardando o envio por e-mail."
11156,5,Top
11157,5,"O produto foi entregue no prazo e funcionando perfeitamente, detalhe apenas do longo prazo de entrega para certas cidades de interior, mas recomendo a loja!"
11158,1,"Comprei vai fazer dois meses, paguei o frete e não entregaram, vou no Procon.... não é a primeira vez que vc fazem isso, nunca mas compro nesse sait"
11159,5,"produto muito bom como descrito no anuncio, chegou antes do prazo estimado."
11160,5,otimo produto
11161,1,Atendimento péssimo
11162,1,Levou quase um mês para chegar um cartucho de tinta que é de uso contínuo
11163,3,"Tudo certo, só demorou um pouco. "
11164,5,Tanto o produto quanto o atendimento é de qualidade.
11165,5,Recebi com uma rapidez incrível. Antes do prazo limite.
11166,1,"Boa promoçao,compra feita.
Mais na hora de receber a mercadoria,so veio uma parte! Agora o que faço?
Quem vai resolver esse problema? Olha que eu confiava na targaryen."
11167,1,"Empresa targaryen, vende o produto e não entende nada sobre ele.Manda procurar uma fonoaudióloga."
11168,1,"Não veio o produto que eu queria, veio foi outro produto estou chateado com a loja gosto muito da loja lannister mas dessa vez me chateou"
11169,2,"No momento não recomendo p ninguém, estou chateada , mais espero receber os produtos ok !"
11170,5,produto chegou bem antes do prazo 
11171,1,"Carregador e fone muito frágeis, não prece original."
11172,5,Tudo normal. De acordo com o contratado. 
11173,3,Produto bom.
11174,5,Extrema pontualidade e ótimo produto.
11175,5,Tem pouco tempo que estou tomando parece muito bom
11176,2,ainda nao recebi meu produto estou aguardando
11177,3,"Demora na entrega. Carteiro não espera o atendimento, alega ausência..."
11178,5,entrega foi rapida
11179,5,Produto entregue no prazo marcado!
11180,5,Eu adorei recomendo
11181,1,"ATÉ HOJE A ARMAÇÃO NÃO CHEGOU E PASSADOS QUASE 2 MESES, AS lannister NÃO SE PRESTAM A DAR NENHUM POSICI0NAMENTO. TOTAL ABSURDO E DESRESPEITO!!!"
11182,5,"O material e muito resistente, nem se compara com os que tem aqui na minha regiao. 50 metros e não perde a qualidade da imagem; Eu recomendo"
11183,5,parabéns pelo bom atendimento
11184,5,Produto lindo e de ótima qualidade!
11185,1,"Não recebi o produto até hj 
Estão dizendo que cancelei minha compra .o que não é vedd quero uma resposta."
11186,3,Só achei ruim que ele não fica em pé como os outros
11187,5,Excelente a chave! Recomendo! 
11188,5,"Rapidez na entrega , é um produto de ótima qualidade! "
11189,3,a mercadoria ainda não chegou 
11190,5,Muito bom
11191,3,"nesse pedido eu recebi somente a película de vidro
a capa não recebi.
o n do pedido é o pagamento foi no mesmo boleto no valor 65,68 incluso o frete.
"
11192,5,Parabéns muito antes
11193,3,Aguardando receber
11194,5,"Bom produto, entregue conforme especificações e dentro do prazo."
11195,2,Produto de excelente qualidade mas a voltagem veio diferente ! Informei a lannister .com antes do embarque Enesio assim me enviaram 110 ao inves de 220v
11196,5,Otimo.
11197,3,"Paguei a mais por que queria dar um prsente ao meu filho, um rapaz.. Quando entregaram lá foi na cor dourada que no dia em que comprei era de +ou - R$ 100,00 mais barato e não era a cor que escolhi."
11198,5,"Estão de parabéns pela entrega, entrega antes do previsto."
11199,1,"No anuncio não diz que o produto é ""compatível"" comprei como se fosse Original, apenas percebi quando chegou, se eu soubesse que não era original não teria comprado."
11200,2,"Infelizmente entrega ainda não efetuada, ainda aguardando para que eu possa testar então dar minha opinião. "
11201,3,Entrega tranquila e dentro do tempo.
11202,5,Excelente
11203,1,Muito enrolados o produto que comprei no direto stark e bem maior e chegou com tres dias ja essa targaryen faz parcerias horriveis 
11204,1,"Houve agilidade na postagem do produto, porém os CORREIOS ainda não me entregaram a encomenda. Estou aguardando. Não posso fazer uma melhor avaliação. "
11205,5,Entrega no prazo gostei muito do produto muito bom
11206,3,"bom produto achei um pouco fina a toalha. Falta na hora da compra a marca do fabricante

"
11207,5,Produto chegou no prazo e ok.
11208,5,Muito obrigado pelo o contrato de vocês
11209,5,"Muito bom a entrega , super rápido !! Dentro do prazo é bem antes !! "
11210,3,"Recebi o produto, mas veio errado, pedi um Tapete Coroa 86cm x 64cm e recebi um Tapete Formato Margarida Petala/Rosa Guga Tapetes, Nota Fiscal que veio no produto foi faturada em nome de outra pessoa"
11211,1,Fiz pedido de 6 produtos e só recebi 2.
11212,5,Produto superou minha expectativa. Conserva de maneira perfeita. Ótimo acabamento. 
11213,5,Produto muito legal. Veio bem embalado e antes do prazo estipulado 
11214,4,A entrega até foi antes do previsto..gostei muito
11215,1,Produto diferente do pedido. E ainda por cima vcs prestam um mal atendimento 
11216,5,Loja sempre agiu com correção.
11217,5,o produto veio perfeito otima embalagem voltarei a comprar.obrigado
11218,5,10
11219,5,Parabéns pela agilidade
11220,5,Gostei de comprar mais uma vez na Americana! 
11221,4,Recomendo
11222,3,"O pendente é lindo, vermelho super brilhante igual na foto mesmo, porém o alumínio é muito fino e frágil, se tivesse visto o material antes provavelmente não teria optado por ele"
11223,5,Adorei é lindo!
11224,1,"eu nem lembrava mais disso, comprei o cel e os cabos e nunca chegou....."
11225,4,Bom produto! 
11226,4,"A entrega foi antes do prazo previsto, observação : comprei 4 foram entregue dois , os outros dois estão a caminho!"
11227,4,Ainda não recebi. Os correios não atualiza o site. Quero saber o que aconteceu. 
11228,5,"super recomendo, entrega bem antes do prazo"
11229,5,Recebi antes do prazo de entrega informado e o produto veio devidamente embalado e com NF. Recomendo 100%
11230,5,Tudo correto 
11231,3,Não veio do jeito que eu queria mas deu certo
11232,5,Chego no prazo amei . Obrigada !!!
11233,5,"A compra foi um sucesso total, chegou muito rápido nunca tinha feito uma compra no site pra chegar tão antes do prazo da entrega assim, produto exelente, silencioso conzinha rapidinho. 
RECOMENDO!!!"
11234,1,"Comprei 02 jogos de cama conforme consta no pedido e recebi só 01 jogo.Quero solução do problema urgente pois já paguei a primeira parcela, estou sendo lesada.Sou cliente antiga do baratheon ."
11235,4,"Recebi meu produto num tempo rápido, porém, por se tratar de um líquido deveria ser melhor embalado, pois, meu produto derramou, acho que deveriam colocar isopor na embalagem."
11236,4,"A loja é muito boa, porem neste caso, só recebi um dos itens do pedido e ainda não tive resposta da loja"
11237,5,Produto muito bom e entrega rápida 
11238,3,Qualidade do produto razoavel
11239,2,Pelo valor dele eu esperava um produto melhor.
11240,5,muito bom
11241,1,"Até agora não recebi meu produto, estou esperando pois se não for enviado quero a devolução do meu dinheiro"
11242,1,Comprei dois toners e só veio um.
11243,5,otima compra farei mais vezes por motivo de preços mais em conta que outros concorrente a entrega foi bem antes do prazo indicado gostei de compra nesta loja pelo site estou vendo mais alguns produtos
11244,1,"Recebi o produto dentro do prazo previsto, porém veio estourada sem condições de uso ."
11245,1,não recebi o produto completo
11246,1,"Deu tudo certo, até testar o produto que não cumpre o prometido, a garrafa não funciona direito, por isso quero devolver, péssima compra."
11247,4,"excelente mamadeira! 
entrega super rápida! !"
11248,1,"Minha compra foi simplesmente ridicula, comprei um som e apos 20 dias nem tirou a nf e simplesmente falaram que nao vão me mandar o produto"
11249,4,Pelo preço a qualidade está de bom tamanho. Cor igual da foto. Gostei muito.
11250,5,"Vcs estão de parabéns, produto top . deis já agradeçovcs"
11251,1,produto não funciona 
11252,1,essa baratheon é ruim não tem atendente para não receber reclamações
11253,1,O PRODUTO VEIO COM DEFEITO E NÃO CONSIGO CANCELAR
11254,5,"Produto conforme anuncio, chegou antes do prazo."
11255,5,Mais uma vez comprando nas lannister e muito satisfeita com o produto e a rapidez da entrega. 100%satisfeita!!!! 
11256,4,Ótimo produto e veio em perfeito estado.
11257,1,Comprei um ventilador de mesa e veio um de torre com a base quebrada. 
11258,5,"adorei, entrega rápida"
11259,1,"Atraso na entrega, até o momento nao recebi o meu produto."
11260,5,"Bom, estou satisfeito! "
11261,5,Chego muito antes do dia previsto. E é maior do que eu esperava meu filho amou 
11262,1,Me entregaram uma mochila em vez do esterilizador !! 
11263,3,Amanha no maximo as 6 ta darde e voces precisam melhorar a entrega do cliente
11264,1,"Realizei a compra do produto no dia 10/10/2017, e o pagamento foi confirmado no dia 12!! O prazo para entrega foi até o dia 01/10, porem, até agora não recebi nada!!"
11265,2,"Não no produto porque veio com defeito, mas não vou trocá-lo. As mercadorias não são revisadas na empresa que o vende. No caso, no lugar da tecla nº 7 tem o número 4, ou seja, 2 teclas nº 4"
11266,1,"Apenas nao recebi o produto
Bailarinas"
11267,3,"O produto é muito inferior do q demonstra na foto. Esse tipo de produto ""depõe "" contra a americana. Com "
11268,1,"Quando você compra um produto pela internet você acredita que isso venha certo e que ao menos você receba o que comprou, e eu não recebi o que comprei vieram faltando produtos."
11269,5,Muito bom. Adorei
11270,1,Comprei kit com 2 produtos e só foi enviado 1 produto! Não obtive retorno para solução do problema.
11271,5,Chegou certinho....
11272,5,perfeito
11273,5,"targaryen enviou bem antes do prazo, produto de ótima qualidade, amei o tecido, bem fresco e resistente, superou as expectativas."
11274,5,Entrega dentro do tempo previsto. Mercadoria de ótima qualidade. Eu recomendo!
11275,4, 
11276,1,"O produto consta como entregue pelo correios, mas não chegou."
11277,5,muito bom
11278,1,nao
11279,1,O produto veio rasgado
11280,5,Chegou no prazo tudo certinho 
11281,5,Foi muito bom comprar nas lojas lannister recebi o meu produto antes do prazo e em perfeitas condições 
11282,1,a loja em si não apresentou problemas porém houve um imprevisto com a entregadora (correios) que atrasou a entrega e acabei por pedir o cancelamento do produto por motivos pessoais
11283,5,"Muito bom... Recomendo, ficou muito bonito e super útil."
11284,5,"Ótima loja, ótimo produto."
11285,5,Ótima 
11286,3,Muito bom
11287,5,Bom
11288,4,"Em relação à compra e entrega foi tudo tranquilo, mas o tapete, mesmo fazendo os ajustes indicados na instrução, não tem um encaixe perfeito."
11289,5,"Como toda fita TRX, cumpre seu objetivo!"
11290,1,"Ainda não foi entregue o pedido e já passou do prazo da entrega. O status do pedido não era atualizado diariamente. Foi atualizado hoje que estava vindo para minha cidade, espero a entrega."
11291,1,O produto não foi entregue conforme o anúncio. Foi entregue um produto diferente e de menor qualidade. Aguardando contato da loja para esclarecimentos do ocorrido e orientações para a troca.
11292,5,Produto muito bom .o produto de qualidade
11293,3,O tempo de entrega poderia ser mais curto.
11294,1,"Não fazia a menor ideia que toalha social era o mesmo q toalha de mão, aff"
11295,5,Muito bom gostei bastante 
11296,4,Loja excelente e produto muito bom
11297,5,pendente grande muito lindo peguei o preto e amei
11298,1,.
11299,3,Não tenho como avaliar pois ainda não recebi o produto.
11300,3,"Não recomendo o produto, pois não é de alta qualidade. Mas o vendedor sim, entregou conforme o prazo e em perfeito estado."
11301,4,"Gostei do produto , atendeu minhas espectativas!!!"
11302,5,Muito bom!
11303,4,"O produto é de boa qualidade, atendeu a nossa expectativa e veio em tempo record, fato que aprovo."
11304,5,"Produto chegou bem antes do prazo recomendo essa loja 
 "
11305,2,"Na descrição e fotos do produto, mostra a capa do Zenfone 3 Zoom, mas a que chegou pra mim não foi essa! "
11306,5,"Produto excelente e entrega rápida.
Tudo de bom!"
11307,4,Produto de boa qualidade. Boa opção de níveis de altura.
11308,5,Estou satisfeita e peço desculpa pelo transtorno pois o pedido foi entregue em dias diferente 
11309,2,"Boa tarde ! 
Não tinha informação do tamanho da cama na explicação está dizendo que é pra cachorro porte grande. Eu tenho um golden de 9 messes e não cabe ele! Me senti enganado. "
11310,1,Produto nao foi entregue. 
11311,4,Fatisfeito com o produto é a entrega
11312,5,"me entregou com 8 dias antes do prazo, excelente "
11313,1,"Fiz um pedido e recebi outro totalmente diferente. O pior é que não consigo contato com as lannister o telefone não funciona. Profundamente indignada, nunca tive problemas mas também não compro mais."
11314,5,Excelente
11315,4,"Recebi o produto inteiro. 
Apesar de um pouco de atraso na transferência, recebi o produto conforme combinado."
11316,4,"INSTALEI NA CASA DE MEUS PAIS,ESPERO QUE FUNCIONE QUANDO PRECISAR,TOMARA QUE NUNCA PRECISE POIS GAZ VAZANDO É MUITO PERIGOSO!!!!"
11317,3,Muito boa
11318,5,Ok
11319,2,"Só recebi o controle remoto do cod.012339, feito através da Eletromassa componentes, Nota Fiscal nº 003570.
O controle do cod. 012495, não constava na embalagem da entrega. ( faltou)
Fico aguardando"
11320,5,"Super recomendo, produto chegou antes do prazo previsto recomendo bastante o site"
11321,4,"Eu gostei muito do produto ,e de ótima qualidade."
11322,1,"Nao volto a comprar com esta loja , demorando uma vida a enttega deste produto"
11323,5,Otimo
11324,4,"Leve parece plástico mais pelo preço compensa
"
11325,5,Adorei o produto.
11326,1,Empresa não cumpriu com a data de entrega. Quero meu dinheiro dos tapetes de volta Péssima... nunca mais comprarei com essa empresa e vou reclamar no site ReclameAqui e outros de defesa ao consumidor.
