,review_score,comments,sentiment
4737,5,receb produt ant praz previst vei tud ord recom,1
4738,5,ndr,1
4739,5,show,1
4740,4,bom,1
4741,5,entreg sup rap produt bem embal,1
4742,5,client satisf aument grat tod equip,1
4743,5,ótim,1
4744,1,relógi mal acab frágil qual ruim parec barrac camelô val preç jeit nenhum,0
4745,5,prez vei tud cert bem rápid porém falt peç rip poss entr contat envi peç aguard,1
4746,5,bom,1
4747,5,lind muit qual fic perfeit quart,1
4748,5,produt entreg ant praz inform recom tod,1
4749,5,ótim esper,1
4750,1,gost poi der 20 dia útel dess 20 dia produt cheg,0
4751,1,conpr dar natal filh esper cheg temp,0
4752,5,efici entreg,1
4753,1,vier soment 2 3 it ped,0
4754,5,recom bom,1
4755,5,fiq satisfeit pq cheg bem ant praz final,1
4756,5,produt entreg conform anunci tud ok,1
4757,5,mal boa qual,1
4758,5,gost efici atend,1
4759,1,aguard entreg segund cub vei,0
4760,4,aí parc 10 acessóri motorol,1
4761,5,ótim produt vei ant praz estipul pra entreg ach pouc car fret rest td cert,1
4762,1,muit dem entreg,0
4763,1,esta demor secul faz extorn nunc vou compr stark parcir,0
4764,4,entreg rápid ant dat,1
4765,2,receb produt err compr bca max cápsul vei bca drink líqu quer faz troc urg,0
4766,5,entreg combin boa qual recom,1
4767,4,tdo parabém,1
4768,1,além ter sid mal embal nenhum proteç cheg complet danific mes bamb apoi tamp ruim fic escorreg improvis,0
4769,4,cor algum barr difer fot embal,1
4770,5,produt entreg ant praz estabelec,1
4771,3,satisfeit,0
4772,5,cheg ant previst produt qual,1
4773,1,oequip func min carta sd nao encaix comput reconhec conect cab usb,0
4774,5,bom atend prest,1
4775,5,pen produt demor entreg dentr praz lind receb produt cor solicit vêm pilh bem embal,1
4776,1,ped cartuch a78 entreg a85,0
4777,5,entreg ant praz ameiiii,1
4778,4,entreg praz,1
4779,3,receb apen colágen sab limon suíç outr sab receb,0
4780,5,produt cheg corret entreg ant praz,1
4781,4,produt ótim qual ach entreg dev rápid,1
4782,4,ddddd,1
4783,5,ótim relógi bast satisfeit recom tod loj parabém obrig,1
4784,5,cheg rápid bem embal,1
4785,4,ótim produt,1
4786,5,entreg praz obrig,1
4787,5,tud conform combin,1
4788,5,recom loj compr produt cheg perfeit cond entreg rapid,1
4789,2,praz cumpr,0
4790,5,cheg ant praz bem atend revend lig confirm produt escolh corret satisfeit,1
4791,1,agor ja receb falt hoj dia 1 junh,0
4792,5,prout esper dentr praz,1
4793,5,relógi lind entreg rápid post dia 24 cheg dia 30 send fret comum nord compr vez,1
4794,4,produt vei conform compr falt it planilh avali,1
4795,1,relogi ja vei danific ja entr contat devoluç,0
4796,1,péss entreg fiz compr dia 13 02 hoj 18 03 receb produt,0
4797,1,compr escov dent curaprox black edition cerd pret entreg escov rox cerd verd nad ver targaryen parc lannist diss pod faz nad corr,0
4798,1,receb aind,0
4799,5,produt bom assin embaix aprov not 10,1
4800,1,nunc compr ness porc,0
4801,4,otim,1
4802,1,produt maravilh quant val pen,0
4803,5,excel produt,1
4804,5,fiq satisfeit atend rapid recom,1
4805,5,ame tud desd dá compr entreg not 10 lannist,1
4806,5,produt qual entreg rápid recom tod,1
4807,3,compr loj lannist produt cheg bem rap por compr cheg inquant tá udo bem,0
4808,5,satisfeit,1
4809,5,recom,1
4810,5,feliz produt loj americ poi tud compr cheg praz agradec obrig loj americ,1
4811,5,receb problem ant praz,1
4812,5,loj excel cumpr anunc promess cont anúnci,1
4813,4,bom comp,1
4814,5,entreg rap,1
4815,1,receb mercad pres dat tão satisf porqu dem entreg process pó vend,0
4816,1,receb produt quebr funcion tent contat empr consegu local ped,0
4817,1,compr kit shamp óle balm pent barb usebarb porém falt pent,0
4818,3,produt bom porém resolv problem ronc lembr respond temp ent comput,0
4819,5,produt entreg ant praz perfeit parabém,1
4820,1,cancel ha temp envi assim nao estorn val,0
4821,5,cheg perfeit sup bem embal,1
4822,1,ate hoj receb,0
4823,1,produt vei defeit caix relógi solt parafus quer devoluç,0
4824,1,receb lustr compr doi anot vei doi receb,0
4825,5,receb produt ant praz gost produt bonit pessoal recom,1
4826,5,produt otim preç bom entreg rap recom,1
4827,4,produt correspond discr,1
4828,5,relógi bonit gost cheg ant praz perfeit est tud funcion recom,1
4829,5,tud bom,1
4830,4,cheg ant praz,1
4831,3,vei not fiscal produt,0
4832,5,otim cober not 10,1
4833,5,bom,1
4834,5,cheg ant praz,1
4835,5,ótim vend recom tod,1
4836,5,tud compr stark cheg ant temp previst recom,1
4837,5,bem atend tod aspect parab,1
4838,5,produt excel qual orig recom,1
4839,5,receb produt temp determin nenhum problem produt ótim qual,1
4840,1,porqu receb mail diz nao iri receb produt dia sequint aparec,0
4841,5,otim,1
4842,1,produt vei difer ped pag fret ir correi agênc dist cas,0
4843,4,gost atend prest,1
4844,5,recom,1
4845,5,receb 2 produt sim recom tod voc parabel not 10 obrig,1
4846,5,,1
4847,3,entreg problem,0
4848,5,entreg rápid parabém,1
4849,5,compr nov qual,1
4850,5,bonit praz entreg melhor esper,1
4851,3,imag parec lâmp mai verdad men descr vem inform tip lâmp,0
4852,1,ped troc fiz,0
4853,1,solicit compr lâmin anúnci fal marc philip entant produt falsific cont dem entreg pag fret q busc corr,0
4854,4,gost,1
4855,5,bom recomend entreg ant praz,1
4856,5,gost produt recom,1
4857,4,recom ótim preç,1
4858,1,esper quas mê falt respeit consum,0
4859,5,ame produt bom lind,1
4860,1,produt envi cheg pert bord send edg sab abaul recom ninguém compr voi tent troc vai dinh jog,0
4861,1,loj recomend produt péss qual,0
4862,3,ótim,0
4863,5,ped cheg cert dentr praz,1
4864,5,aind sei eficác produt,1
4865,1,produt cheg aind,0
4866,5,coloqu aind fic gost comor,1
4867,1,receb produt quant adquir poi soment embal pot invé dua,0
4868,5,tud entreg corret,1
4869,4,,1
4870,2,experi outr esfreg marc produt recomend poi tr esfreg dur func direit,0
4871,3,produt entrega02 compr nest ped nao receb aind outr entrega01 receb email dificuldad entreg notic,0
4872,5,tud conform recom,1
4873,5,lind,1
4874,5,ótim bom mater func fast charg fio us adapt própri pra part lig tom precis ter funç prát p lev bols pequen lev,1
4875,5,melhor loj ate hoj ke ja compr,1
4876,4,produt bom cheg rápid recom,1
4877,1,entreg mercad,0
4878,5,recom cheg ant praz,1
4879,1,compr produt,0
4880,4,bom,1
4881,2,melhor,0
4882,5,melhor esper,1
4883,5,bem confort filh amou,1
4884,5,cortin lindaa,1
4885,4,produt qual entreg 7di ant praz tablet rápid parabém tod equip,1
4886,5,bom,1
4887,1,vend produt send orig vei imit,0
4888,4,ped cor pret venh branc aceit igual pod ter vid corret,1
4889,5,loj excel má produt ruim pelicul plás indic produt ninguém val apen,1
4890,5,ame jeit esper cheg ant praz,1
4891,3,preç mercad compat,0
4892,1,compr doi perfum send vei caix pra ajud perfum falsific marc caix vend proib pra test,0
4893,5,produt ótim pontual ótim atend,1
4894,5,bom trabalh,1
4895,4,cheg 2 dia sup rápid entreg,1
4896,5,ótim produt entreg rápid satisfeit,1
4897,1,canet espiã func quer mand outr mim pôqu mand func carreg poss fic sim,0
4898,2,produt aind entreg,0
4899,4,tud ord poss confi,1
4900,3,produt bonit frág l cheg bem amass,0
4901,5,entreg praz produt boa qual,1
4902,5,,1
4903,3,bom produt,0
4904,5,igual ped lind,1
4905,5,receb temp praz gost produt til,1
4906,3,bom,0
4907,3,receb produt err nunc acontec acostum compr tud pra cas onlin escolh tapet lis vei sup difer escolh agor quer ver vai,0
4908,1,compr dua torr cervej transport entreg embal torr dentr insatisfeit,0
4909,5,produt cheg corret ant praz,1
4910,4,atend expect,1
4911,1,ped aprov dia 06 10 dem cancel ped dia 17 10 assim mand mercad tent desd dia 20 10 contat via stark obtenh respost retorn,0
4912,1,garraf possu 1 5 l conform anunci ench tamp mater lá cois mim val preç pag,0
4913,5,ótim,1
4914,5,amo compr ness conceitu empr spr receb ant praz estim tod produt excel qual sup recom,1
4915,1,compr 2 unidad apo atras entreg receb apen 1 unidad grav produt vem embal individ not fisc apont not fiscal 2 unidad receb ont atr,0
4916,5,entreg praz nov,1
4917,3,produt cheg defeit puls entr contat pra faz troc agor respond demor pra cheg faz retir correi entreg cas,0
4918,5,entreg bem ant dat prev adoreeeeiiii,1
4919,5,ótim vend produt entreg ant praz av,1
4920,5,ame produt ótim preç atend expect,1
4921,1,produt entreg,0
4922,4,man vei apag sab instal,1
4923,4,gost fon cocnet fácil celul bom som,1
4924,5,produt entreg ant praz promet bom,1
4925,4,receb tud cert cheg praz corret recom,1
4926,4,not 10,1
4927,1,mand relógi cheg observ par conclus mand produt quebr,0
4928,5,aind receb produt kit matern precis receb urgênc poi dar luz qualqu moment sempr compr baratheon nunc ant problem praz,1
4929,4,boa compr,1
4930,5,sempr compr amér bem satisfeit serviç prest entreg ant praz nenhum defeit,1
4931,3,produt apar us tint log gast algum arranh tent econom 5 real compr loj,0
4932,4,bom,1
4933,2,trabalh reduz praz entreg sei compr nov através sit,0
4934,5,recom produt bem feit show,1
4935,3,nao recomend targaryen por americ continu indic,0
4936,5,maravilh filh ador,1
4937,5,cheg ant praz marc,1
4938,5,bom,1
4939,1,nunc problem stark infeliz dess vez err ped mangu entr águ receb mangu saíd,0
4940,5,,1
4941,5,gost,1
4942,1,fiz compr 2 conjunt apes const not fiscal 2 soment 1 conjunt envi pacot quer outr conjunt,0
4943,4,bom,1
4944,1,receb apen produt doi compr vei vári defeit demonstr produt baix qual,0
4945,2,qual produt ruim,0
4946,5,super expecy,1
4947,4,produt entreg corret dentr praz tamp firm geral b,1
4948,3,produt bonit ach dev ter vind caix adequ p relogi,0
4949,1,compr segu vi nao casset 10v cancel menos 15 minut após compr assim envi produt,0
4950,1,produt vei compr inclusiv not fiscal vei nom outr pesso consig contat resolv problem,0
4951,5,recom,1
4952,2,ped entreg dat agor receb,0
4953,1,pag aind receb perfum envi not fiscal gost sab vão entreg aguard obrig,0
4954,1,pesso conseg contat inclusiv ind atrás direit consum sent les pesso compr mochil lev sac plás,0
4955,3,faz mê esper aind cheg precis sab vai cheg quer val pag volt,0
4956,1,duch cheg desvi const fot reclam sac kdt emis not fiscal dia dat ate moment nad resolv favor tom providenc,0
4957,5,receb ant praz estipul super expect,1
4958,4,produt cheg ant praz bonit atend necess,1
4959,1,efetu compr dia 16 02 aprov dia 20 02 emit not 22 02 mto temp process analis envi ate dia 08 03 receb produt,0
4960,5,cortin igual fot fic lind sal entreg rápid recom,1
4961,5,super expect,1
4962,1,tud pag produt fret cheg nad,0
4963,2,produt vei err precis devolv entr contat agor obtiv nenhum retorn,0
4964,5,ótim,1
4965,1,fiz compr cortin jad quart sal 2 00m x 1 70m var simpl começ dezembr ate agor receb produt send q previst cheg ate dia 28 12,0
4966,5,excel produt bem feit,1
4967,2,aind receb sei motiv,0
4968,5,otim,1
4969,4,recom,1
4970,3,produt vei lev avari prova press embal dur remess funcion norm,0
4971,1,prez encomend produt waterpik 110 v entreg produt 220 v proced troc atencios flavi,0
4972,5,gost produt entreg sup rápid após compr demor 5 dia cheg recom,1
4973,5,otim,1
4974,5,ador produt cheg ant praz cert obrig,1
4975,5,compr tranquil produt entreg praz estim,1
4976,5,bom compr vc patro tá impolg,1
4977,1,bom quant produt nao poss opin porqu aind receb compr dar pres ja arrepend targaryen parc lannist recom 1 estrel porqu nao pod menos,0
4978,5,ating expect,1
4979,2,demor entreg,0
4980,3,bom dia nom ana paul amanci aind receb produt peç dê pos poi faz temp compr sei dev grev caminhon tud par,0
4981,5,so fiq pouq chate porqu nom impress ma canec vei falh pro marid diss tud bem daquel jeit geral tud otim,1
4982,5,gost produt cheg bem embal dentr praz,1
4983,4,gost cheg praz atend ótim recom,1
4984,4,bom produt cheg dentr praz,1
4985,5,gast,1
4986,5,excel,1
4987,1,aind receb produt praz entreg 23 03 agor cheg,0
4988,5,otim produt bonit,1
4989,4,bom produt,1
4990,4,bom,1
4991,1,cancel ped dat cert agor lev correi,0
4992,5,ótim loj,1
4993,1,aind cheg,0
4994,2,relógi caix vei bem embal caix,0
4995,5,recom tod usuari sit poi tud conform combin,1
4996,4,bem acab tamanh ideal val pen,1
4997,4,entreg rap produt bom,1
4998,2,receb películ vei tod lacr porém moment coloc la problem risc tel falt col torn produt má qual,0
4999,1,nao receb produt,0
5000,5,produt cheg bem ant praz inform,1
5001,5,quadr lind boa qual,1
5002,1,compr doi produt dia sext feir black friday iníci dezembr jog panel tramontin cheg dentr praz dia 11 12 pipoc aind cheg,0
5003,5,sup recom produt entreg ant praz entreg produt igual descr,1
5004,1,produt const entreg cheg nad cas hoj manhã lig centr lannist pra sab acontec atend mim inform pra ey esper terç,0
5005,5,produt entreg acord compr ant praz inform satisfeit,1
5006,5,lind entreg praz mater excel recom,1
5007,5,satisfeit compr entreg produt entreg praz cert sup bem embal proteg parabém trabalh seriedad,1
5008,1,cour sinté,0
5009,5,produt acord descr ofert recom,1
5010,5,serviç prest grand confianç porém aind aguard respost soluc problem produt apresent esper mesm mostr efici soluç problem,1
5011,5,produt bom idênt fot entreg bem ant praz tud content,1
5012,5,agil entreg,1
5013,1,produt entreg dar satisf client,0
5014,5,produt cheg cert lind,1
5015,2,quant entreg tud bem perfum gost frac fragr difer opin li internet,0
5016,1,nao receb produt,0
5017,5,receb produt ant praz,1
5018,5,lannist sit confi produt otim qual sup indic,1
5019,4,excel loj entreg tud praz,1
5020,4,entend porqu retir agenc correi,1
5021,1,envi produt difer daquel anúnci solicit devolv produt receb val pag porém aind respost esper resolv desagrad problem form consens,0
5022,4,trat metal precios vou ped especi confirm prat obg,1
5023,4,bom atend previs entreg cumpr,1
5024,1,faz entreg hor comerc ness períod trabalh pag encomend,0
5025,5,produt vei ótim cond ant praz estipul porém únic mal entend anunci branc vei cor pret,1
5026,1,péss experi nunc compr sit,0
5027,1,produt vei avari caix amass algum rasg chei fit ades produt vei rod mand vári mail stark retorn,0
5028,1,efet compr tud norm pert entreg coloc produt indispon,0
5029,3,compr 3 it receb apen 2 loj respond contat,0
5030,3,receb littman cor err,0
5031,1,compr kit 2 pom receb apen envi mens obtiv respost complet falt respeit,0
5032,2,produt conform anunci porém entreg demor compr dia mão cheg,0
5033,1,precis pos poi receb,0
5034,5,bom produt,1
5035,4,entreg praz bom produt,1
5036,5,receb produt conform especific sit sup satisfeit,1
5037,1,receb produt pag alg receb absurd desrespeit consum,0
5038,1,atras entreg,0
5039,5,satisfeit,1
5040,5,produt excel entreg ant praz recom,1
5041,4,produt cheg perceb combati window 10 ha 4 dia tent fal sac sab proced troc outr propri sit lannist,1
5042,5,pag fret ir busc outr mund err entreg cas,1
5043,1,vei apen 1 travess compr 2 not vei 2 produt receb lig empr diss aind ire receb outr agor receb aguard,0
5044,1,cinc cade compr cheg soment dua acab tec ped feit acab corin,0
5045,1,cancel compr assim entreg produt aind entreg outr model fic aguard devoluç produt cust att,0
5046,3,aind entreg produt sit diz entreg realiz,0
5047,5,produt cheg corret,1
5048,5,entreg rápid doi dia cheg caix direit,1
5049,4,bom atend cumpr praz,1
5050,5,ótim vend produt perfeit,1
5051,2,col espelh pared col pess nao pass orientaca compr fit ades melhor descol temp caiu quebr pont,0
5052,3,entreg cas busc correi,0
5053,5,produt entreg praz problem,1
5054,5,bom,1
5055,1,const ped entreg dia 20 12 gost sab vão faz agor aguard,0
5056,5,produt vei exat anúnci gost obrig,1
5057,1,entreg praz estim,0
5058,5,compr produt present namor cheg ant praz real lind recom loj cert,1
5059,1,compr 4 frasc mod vei so 1 combr val 4 injust nao der satisf vou cancel compr carta fraud americ,0
5060,4,vei praz cert porém produt trinc,1
5061,5,pessoal bonit q imag cheg ant praz baratheon arras sempr,1
5062,4,tud cert,1
5063,5,tud funcion perfeit,1
5064,5,produt bom cheg bem ant praz determin amei sup recom,1
5065,5,ótim produt entreg praz corret recom loj parabém,1
5066,5,pont vist produt bom real faz diz ret tod local aplic irrit pel deix pel mac recom produt bom compens compr,1
5067,5,receb produt excel cond receb produt bem ant praz estim dia útil produt entreg obrig,1
5068,5,bom,1
5069,1,vei metad,0
5070,1,produt nao orig nao fal repl orig compr cert ach relogi aprov dagu ach lannist nao trabalh tip mercad,0
5071,5,bom recom tud dentr praz,1
5072,4,receb ant praz amee __,1
5073,1,aind recomend pq receb produt,0
5074,5,recom,1
5075,5,uso pastilh algum temp ótim produt,1
5076,5,produt bem embal entreg dentr praz,1
5077,5,receb produt dua etap dia diferenci sid avis sobr possibil lev sust ocorr tud bem produt cheg intact bem embal,1
5078,2,receb metad produt,0
5079,5,parabém cheg ant praz mercad ótim surpreend expect ótim pro dia dia,1
5080,4,rápid segur,1
5081,5,produt bom,1
5082,5,produt qual entreg sup rápid,1
5083,1,absurd acab praz entreg produt saiu aind not fiscal emit agor vir fest 2 produt q compr n receb sit stark p mim n confianç,0
5084,1,produt cheg,0
5085,5,apes gost produt ped vei tudocorret pen qua pass control remot frent deu cert tv poi compr orig samsung,1
5086,5,tud cert produt entreg entreg realiz ant praz previst,1
5087,1,moment entreg produt aind feit atras portant poss avali lo últ statu correi objet aind cheg unidad vian es favor agu,0
5088,5,entreg ant praz produt bom,1
5089,5,demor pouc cheg pod entreg rápid val pen esper ótim produt,1
5090,5,entreg bem rápid produt conform descr,1
5091,5,loj entreg produt ant praz tud cert grat,1
5092,1,apes faz mesm funç troc adapt receb aparent parec inferi compr tant qual mater val 5x barat,0
5093,2,produt entreg dentr praz porém produt vei danific,0
5094,1,realiz compr dia 10 10 porém cheg 1 produt send pag 3 unidad mop spray insatisfeit inclusiv atend,0
5095,5,tud perfeit obrig,1
5096,3,olá boa noit produt vei encomend porém vei certific garant menos man instruç vi caix víde dest model relogi,0
5097,5,ameiiiiiiii produt,1
5098,3,tud ok,0
5099,5,apen part ped falt envi hd,1
5100,1,pess,0
5101,5,boa atenç vend,1
5102,5,entreg sup rápid mercad cheg ant praz perfeit est ótim produt sup recom tod feliz compr,1
5103,5,produt entreg ant praz recom,1
5104,5,satisfeit,1
5105,1,demor,0
5106,5,relógi bonit mater pouc dur bakan,1
5107,5,not 10,1
5108,1,sit atualiz inform reclam mercad ta atras merd,0
5109,5,entreg rápid produt entreg nenhum av,1
5110,5,ótim,1
5111,1,produt nao cheg aguard devoluça dinh,0
5112,5,entreg ant praz previst bom,1
5113,1,produt entreg,0
5114,1,vou deix mha opin assim q receb,0
5115,1,produt aind cheg irá responsabil atras entreg val fret pag mim targaryen lannist envi email agor n retorn,0
5116,5,produt otim,1
5117,5,boa loj entreg produt praz 100 confi,1
5118,5,cheg tud conform esper surpreend veloc entreg obrig,1
5119,2,produt atras,0
5120,5,correi vist email desculp peg,1
5121,4,restr,1
5122,5,gost produt loj cheg perfeit est dentr praz,1
5123,1,lannist dev cancel parc poi empr targaryen embust fraudulent agiu má fé empr denigr imag lannist aguard reembols,0
5124,1,pass praz entreg nad produt,0
5125,2,faz 45 dia compr omprodut cheg,0
5126,5,parabém qual produt cheg ant esper fiq impression agor quer sempr compr stark,1
5127,5,recom empr poi tud acord realiz satisfeit,1
5128,2,aguard respost mercad entreg,0
5129,4,jog bord esper mater melhor geral gost,1
5130,5,ótim,1
5131,4,boa,1
5132,1,receb produt avali,0
5133,1,compr produt nest loj fez mê receb produt,0
5134,5,ador lannist,1
5135,5,boa,1
5136,2,25 dia constat sit entreg produt cancel nenhum explic motiv porqu produt pag dificuldad sab acontec,0
5137,2,produt praz entreg 13 04 moment doi dia atras necess verific porqu atras regular entreg pres aniversári pend entreg,0
5138,5,aind fiz test cheg tud cert,1
5139,5,viag aind receb produt,1
5140,4,satisfeit compr,1
5141,5,produt entreg conform ped import realiz nov compr,1
5142,5,produt bom entreg ant praz,1
5143,1,receb produt difer fot falt teso ninguém agor resolv mim recom compr,0
5144,5,boa,1
5145,5,boa compr preç bom entreg rap,1
5146,1,quant temp esper,0
5147,5,receb soment cober kit endredon nao rec,1
5148,5,fiq feliz produt gost veloc,1
5149,5,ótim produt fácil mont entreg rápid,1
5150,5,produt entreg acord praz combin,1
5151,2,ped colch 100 algod vei 100 poliest,0
5152,1,coloq entreg q ir busc entreg cas outr seman uso fon dand problem,0
5153,5,ótim,1
5154,1,dem absurd entreg produt vou receb né,0
5155,5,receb compr rapid problem,1
5156,5,produt exat igual fot,1
5157,5,satisfeit entrag bem rap,1
5158,5,entreg bem ant praz,1
5159,5,bom sit cheg ant praz dad,1
5160,1,compr 2 unidad receb apen 1 gost entr contat comig,0
5161,1,compr 2 calcul receb 1 secret receb correi assin abr vi q receb 1 calcul not fiscal const 2 pag 2 p receb 1 explic,0
5162,1,esper receb rápid possível compr,0
5163,5,panel ótim,1
5164,3,boa qual q mulinet simpl além q pens,0
5165,5,nad reclam produt adquir,1
5166,4,relógi lind cheg praz apes praz ter sid bast extens melhor preç q encontr produt vei risc bot revers nad q impeç bom funcion,1
5167,5,sup recomend compr ótim qual cheg praz ant segund compr sup gost,1
5168,1,dem compr tud baratheon aí vem tud separ cart pq loj difer horr,0
5169,3,boa qual pincel vei solt encaix,0
5170,5,produt qual entreg dentr praz,1
5171,1,produt entreg qu cheg cas,0
5172,5,excel receb dentr praz produt norm av conform ped cheg,1
5173,5,recom pontual tod compr fiz,1
5174,1,ach err cobr fret ter ter ido retir correi,0
5175,4,perfeit cheg ant previst índic cheg cert obrig lannist efici,1
5176,1,aparelh func direit,0
5177,4,sol alt crianç 1an pod torc pé,1
5178,5,produt cheg ant praz estipul vei bem embal not fiscal man,1
5179,5,entreg realiz ant praz,1
5180,4,produt entreg ant praz,1
5181,5,produt boa qual entreg prev 21 dia cheg menos 03 dia,1
5182,5,produt conform descr ofert entreg feit ant praz,1
5183,2,ped cancel conform email vc 08 mai,0
5184,4,boa,1
5185,5,produt demor pra cheg,1
5186,5,bom rápid,1
5187,5,receb produt bem ant dat prev ador compr,1
5188,5,ótim,1
5189,1,gost sab gu vou receb ped consig fal stark esper respost brev possível abraç,0
5190,1,qual inferi mostr imag,0
5191,4,produr cheg dentr praz bem lev caix papel vei certific garant soment man tamanh bom cor dour clar nad cham,1
5192,1,entreg praz fiz compr dia 3 fever aind receb mercad satisf dão client,0
5193,5,ame lind bols bem reforç espaç ador,1
5194,4,,1
5195,3,compr 3 produt agor receb 1 gent conseg acompanh ped,0
5196,4,entreg rápid complic,1
5197,1,fornec péss receb produt hoj nunc compr indic stark pra ninguém ruim,0
5198,5,not 10,1
5199,4,boa,1
5200,1,trint dia avis pod entreg produt porqu indispon absurd,0
5201,1,arrepend produt ped devoluç faz 48 hor ning deu respost insatisfeit,0
5202,2,boa tard agor receb apen part carr,0
5203,5,produt cheg cas pouc demor,1
5204,1,entreg produt diverg hav compr além vir tod acessóri const descr anunci solicit provid urgent,0
5205,5,produt ótim qual cheg bem ant praz determin recom,1
5206,5,ótim produt,1
5207,5,cheg bem ant praz estim recom,1
5208,5,produt cheg ant praz func perfeit,1
5209,5,cheg ant previst jeit q ped muit lind kit cert filh vai am obg,1
5210,5,cheg ate rápid bem correi funcion melhor,1
5211,5,travess excel qual,1
5212,5,tud dentr combin empr confianç compr nov cert,1
5213,4,soment problem tod bonec music entant músic ingl,1
5214,1,praz entreg venc 2 dia aind receb produt envi mail loj parc lannist respond,0
5215,5,car palavr serviç promet produt dia cheg dua seman ant,1
5216,3,verific result produt relaç entreg sup rápid,0
5217,3,receb ate hoj so produt bols esmalt esmalt compr junt bols aind nao vier quer sab porqu,0
5218,1,hoj 28 3 aind receb produt sei vou receb entr process receb dinh volt imagin depend dist,0
5219,1,compr liqu vei comprim,0
5220,5,entreg anr praz determin bom,1
5221,1,demor entreg,0
5222,3,fiq trist porqu ped cancel compr pra peg outr model respeit ped realiz ire pens ant realiz nov ped,0
5223,5,otim compr recom,1
5224,5,excel,1
5225,3,excel produt entreg porc correi brasil priva,0
5226,5,entreg praz produt excel,1
5227,3,cartuch pret vei viol demal vier lacr,0
5228,5,gosteeeeiiiiiiii,1
5229,4,tud ok entreg qual produt,1
5230,5,otim vend,1
5231,3,infeliz produt cheg ont tecn instal nao func nenhum notebbok faç vou ate loj hj,0
5232,1,receb lençol receb colch king cobr beg compr err horr entreg quer cancel colch receb,0
5233,2,entreg caix lacr soment 1 produt dentr caix,0
5234,5,cheg ant praz estabelec produt exat hav ped,1
5235,1,demor 2 mes p cancel,0
5236,3,descr produt tamanh mater apar fot dig not 10 produt viv abert embal not 9,0
5237,3,malet vei arranh,0
5238,5,ok,1
5239,2,produt bom porém not fiscal vei nom pesso receb send ped feit cpf cas precis troc faz algum cois vou pod porqu outr nom,0
5240,5,fiq satisfeit,1
5241,5,bom atend,1
5242,3,exist form soluç problem telefon sac pi compr lannist outr sit parc grup,0
5243,5,ótim produt,1
5244,5,demor 1 pouc cheg cert obg,1
5245,5,gost produt,1
5246,1,mater plás horr sal,0
5247,5,produt boa qual esper,1
5248,5,entreg praz excel fornec,1
5249,1,produt aind entreg send praz inic cheg 14 12 hoj dia 18 12 nad,0
5250,4,preç produt ótim mater ótim qual bem bonit,1
5251,4,bom produt,1
5252,1,25 dia esper produt inform problem logis iri cancel entreg porqu avis ant quer dinh volt,0
5253,5,esper,1
5254,3,praz entreg long 20 dia pra entreg bonec pag fret 24 90 fret esper rapid entreg,0
5255,5,compr atend perfeit produt entreg praz excel qual lind marc relógi maravilh osl compr outr,1
5256,5,produt orig preç excel recom,1
5257,1,películ gel vei outr aparelh,0
5258,5,recom preç bom produt cheg cert praz estipul,1
5259,1,péss serviç,0
5260,1,compr produt volt 220 vei volt 110 faç resolv,0
5261,5,respeit client qual satisf client feliz,1
5262,1,receb produt,0
5263,5,demor pouc caus grev correi ach recomend loj sim,1
5264,4,bom,1
5265,3,hav identific produt elétr pret troc precis orient troc aceit val compr substitu fat precis,0
5266,5,ador relógi cheg cor q ped perfeit est obrig,1
5267,4,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1
5268,3,boa,0
5269,5,entrg rap,1
5270,5,relógi orig cheg sup rápid tact ame compr,1
5271,5,recom,1
5272,3,bom produt cas font comput entreg por otim atend,0
5273,3,produt entreg part poi compr 2 unidad receb 1,0
5274,5,produt entreg ant temp produt dentr esper,1
5275,1,insatisfeit poi obtiv retorn ped,0
5276,5,recom preç ótim cheg rápid temp tod deix inform sobr ped mail enfim bom,1
5277,1,produt vei peç falt consig usá lo,0
5278,2,aguard entreg produt,0
5279,5,dentr combin,1
5280,5,compr 3 produt ate agor cheg 1 ant esper otim est recomend cert,1
5281,5,tud conform solicit entreg antecip,1
5282,1,tud dentr esper,0
5283,5,produt cheg ant praz previst bem embal,1
5284,5,receb produt ant praz entreg perfeit cond,1
5285,5,stark parabém sempr produt entreg ant praz,1
5286,4,tud cheg rapid bem embal,1
5287,5,jog compr net jog pal amig recom,1
5288,5,ótim,1
5289,5,ameii,1
5290,4,use aind oarec bom,1
5291,5,ja segund vez compr produt fornec bem satisfeit,1
5292,4,entreg ant praz produt ótim recom,1
5293,1,produt volt remet,0
5294,5,receb produt pouc dia enquant funcion bem,1
5295,5,entreg ant d praz,1
5296,5,,1
5297,2,bom dia aind receb carr ate dat pres aguard,0
5298,5,gost proteg notebook além cab cadern,1
5299,5,compr pouc recei fic escur poi cabel castanh escur um tom mei marrom porém deu lev mud cor n fic pret deu mto brilh ame,1
5300,5,entreg praz,1
5301,5,aind ganh livr brind,1
5302,1,após aguard 1 mê dat pag ped cancel sistem fiz reclam sit agor receb respost falt respeit desonest,0
5303,5,gost tud,1
5304,5,sim receb ate ant praz entreg pessoal compet prest recom sim parab equip,1
5305,5,tud ok,1
5306,3,prov motiv paralis transport,0
5307,3,gost receb produt ant ano nov posivel,0
5308,5,produt atend perfeit,1
5309,2,compr model relogi vei outr total difer,0
